ROBOT
Aeolus
Aibo
Aibo (1999)
Aido
Aila
Aisoy KiK
Albert Hubo
Alfa KIKI
Ami
Amigo
Amy-A2
ApriPoko
AR-600
ARI
Armar
Asimo
Autom
Automatronic
Babyloid
Bandit
Baxter
BHR-5
BIG-i
Blossom
Bocco Emo
Buddy
Care-O-bot 4
CB2
Chili
CHiP
Chip CANdroid
Cobalt
Cody
Cosero
Cozmo
Cruzr
Cutii
Darwin-OP
Dash and Dot
Deskbot
Diego-san
Domgy
Dreamer
ECCE
Elli-Q
Emiew 3
eMuu
EMYS
Enon
Erica
Fable
Farnese
Flash
Flobi
Furby
FURo-i
FURo-S
Gemini
Geminoid DK
Geminoid F
Geminoid HI
Heasy
HEXA
HOSPI
HRP-2
HRP-4
HRP-4C
Hub
Human Support Robot
iCat
iCub
iPal
iRobiQ
Jelly
Jibo
Jimmy
K5
Kaspar
Keepon
Kibo
Kiki
Kirobo
Kismet
Kiwi
KK-X1
Kobian
Kodomoroid
Kuri
Leka
Leonardo
Loomo
LYNX
M1
Mabu
Mahru
Maki
Manav
MarsCat
Miko2
Millennia
MiP
MiRo
Misty
Mobiserv
MoRo
Moxie
Mung
Musio
Mykie
Nadine
Nao
Nexi
Octavia
Olivia
Olly
Otto
Padbot P3
PALRO
PaPeRo
Paro
Pepper
Photon
Pillo
Pleo
Promobot v4
Pudding BeanQ
Qbo
Qrio
QTrobot
Quori
Reddy
REEM-B
REEM-C
Reeti
Robina
Robit
RoboThespian
Robovie
Roboy
Romeo
SAM
Sanbot Elf
Sanbot Max
Sanbot Nano
Sawyer
Silbot 3
Simon
Sipro
Snow
Sophia
Surena
Talk-Torque 2
Tapia
Tega
Temi
TIAGo
Tico
TJBot
Twendy One
Vector
Vortex
Wakamaru
Waseda Flutist
Yumi
Zenbo
Zeno
